rch_site,scenario,dx,dy,Transient,Stationary
2,104,25.0,-25.0,213769.58847045898,325755.0048828125
2,105,25.0,-25.0,250592.9946899414,382503.62396240234
2,106,25.0,-25.0,1252197.036743164,1990048.5229492188
2,107,25.0,-25.0,686134.2620849609,1345864.4104003906
2,108,25.0,-25.0,826731.7962646484,1906325.0732421875
2,109,25.0,-25.0,902245.7885742188,1195134.2010498047
2,10,25.0,-25.0,170375.0991821289,290209.5603942871
2,110,25.0,-25.0,811100.7690429688,1259859.6954345703
2,111,25.0,-25.0,417781.75354003906,762116.3940429688
2,112,25.0,-25.0,227958.92715454102,360867.19512939453
2,113,25.0,-25.0,598391.7236328125,906289.7491455078
2,114,25.0,-25.0,425665.9698486328,566513.1759643555
2,115,25.0,-25.0,267649.5933532715,362479.248046875
2,116,25.0,-25.0,308250.1220703125,451737.9379272461
2,117,25.0,-25.0,536818.1991577148,807056.1981201172
2,118,25.0,-25.0,868357.4676513672,1358531.7993164062
2,119,25.0,-25.0,1255742.7978515625,2104679.1076660156
2,11,25.0,-25.0,1035152.5115966797,1988604.1259765625
2,120,25.0,-25.0,644580.3833007812,1516172.7905273438
2,12,25.0,-25.0,571710.6246948242,1621599.4262695312
2,13,25.0,-25.0,337720.5276489258,243105.1254272461
2,14,25.0,-25.0,138836.89880371094,192236.5951538086
2,15,25.0,-25.0,2604406.73828125,4375628.0517578125
2,16,25.0,-25.0,1250997.7722167969,2185232.8491210938
2,17,25.0,-25.0,2680269.1650390625,4635792.8466796875
2,18,25.0,-25.0,583195.5718994141,1060113.6016845703
2,19,25.0,-25.0,1896186.6760253906,3515601.806640625
2,1,25.0,-25.0,496370.4299926758,254151.28707885742
2,20,25.0,-25.0,1083906.9366455078,2163691.2536621094
2,21,25.0,-25.0,1390496.5209960938,2908411.5600585938
2,22,25.0,-25.0,1800362.2436523438,3369355.46875
2,23,25.0,-25.0,629803.2760620117,1265924.7589111328
2,24,25.0,-25.0,362211.07482910156,837306.3659667969
2,25,25.0,-25.0,2783874.2065429688,2958435.6689453125
2,26,25.0,-25.0,748923.7976074219,1040175.6286621094
2,27,25.0,-25.0,1952527.3132324219,2906447.4487304688
2,28,25.0,-25.0,548783.6074829102,955885.009765625
2,29,25.0,-25.0,3109275.5126953125,5102170.104980469
